id,pair,entry_price,entry_date,exit_price,exit_date,profit_%,running_profit_%,running_price,direction
19,STRAXUSDT,1.071,11/23/2023 14:13,0.993,2023-11-28 11:15:16,-7.282913165266103,-8.123249299719884,0.984,long
20,AAVEUSDT,97.84,11/24/2023 4:07,94.15,2023-11-28 11:56:52,-3.771463614063775,-4.057645134914144,93.87,long
21,ANTUSDT,5.262,11/24/2023 4:08,5.157,2023-11-28 11:15:17,-1.9954389965792387,-2.204484986697067,5.146,long
22,C98USDT,0.1873,11/24/2023 4:10,0.1795,2023-11-28 11:56:52,-4.16444207154298,-4.271222637479982,0.1793,long
23,CTXCUSDT,0.293,11/24/2023 4:11,0.39,2023-11-29 09:24:11,33.10580204778158,39.249146757679185,0.408,long
24,ETHDOWNUSDT,0.1583,11/24/2023 4:12,0.1659,2023-11-28 11:15:20,-4.801010739102966,-4.674668351231832,0.1657,short
25,ETHUSDT,2064.71,11/24/2023 4:12,2025.06,2023-11-28 12:07:45,-1.9203665405795531,-1.7523041976839393,2028.53,long
26,GRTUSDT,0.139,11/24/2023 4:13,,,,3.956834532374084,0.1445,long
27,IOTXUSDT,0.02562,11/24/2023 4:14,0.02442,2023-11-29 03:14:08,-4.683840749414519,-3.9422326307572226,0.02461,long
28,LITUSDT,0.925,11/24/2023 4:15,0.858,2023-11-28 11:15:24,-7.24324324324325,-6.5945945945946,0.864,long
29,NMRUSDT,15.56,11/24/2023 4:16,15.34,2023-11-28 12:07:48,-1.4138817480719834,-0.8354755784061747,15.43,long
30,ADAUSDT,0.3946,11/24/2023 4:27,0.3767,2023-11-27 14:32:35,-4.536239229599602,-4.232133806386212,0.3779,long
31,AGLDUSDT,0.853,11/24/2023 4:27,0.836,2023-11-28 11:56:57,-1.9929660023446678,-2.344665885111374,0.833,long
32,ALCXUSDT,16.38,11/24/2023 4:27,15.42,2023-11-27 13:52:48,-5.860805860805856,-1.6483516483516458,16.11,long
33,SUPERUSDT,0.2489,11/24/2023 5:18,0.4067,2023-11-28 11:56:58,63.39895540377661,63.59983929288871,0.4072,long
34,AGIXUSDT,0.29433,11/24/2023 5:25,,,,1.8890361159243059,0.29989,long
35,ILVUSDT,100.15,11/24/2023 6:10,109.69,2023-11-29 14:56:05,9.525711432850715,12.820768846729893,112.99,long
36,MDTUSDT,0.05756,11/24/2023 6:12,0.06579,2023-11-29 15:28:01,14.298123697011818,14.906184850590696,0.06614,long
37,PERPUSDT,0.6804,11/24/2023 6:13,0.6349,2023-11-28 11:57:01,-6.687242798353908,-6.744562022339798,0.63451,long
38,NEXOUSDT,0.752,11/24/2023 6:51,0.742,2023-11-28 11:15:31,-1.3297872340425543,-0.6648936170212771,0.747,long
39,TRUUSDT,0.05593,11/24/2023 6:55,,,,1.323082424459141,0.05667,long
40,PHBUSDT,0.8095,11/24/2023 7:50,,,,1.7047560222359524,0.8233,long
41,RNDRUSDT,3.553,11/24/2023 9:48,3.142,2023-11-27 14:21:28,-11.567689276667606,-11.286236982831404,3.152,long
42,LSKUSDT,1.289,11/24/2023 10:04,,,,-6.206361520558561,1.209,long
43,POLSUSDT,0.3751,11/24/2023 11:03,0.3925,2023-11-29 14:56:09,4.638762996534265,9.384164222873903,0.4103,long
44,ROSEUSDT,0.07551,11/24/2023 15:29,,,,12.978413455171506,0.08531,long
45,SPELLUSDT,0.000625,11/24/2023 15:30,,,,-7.296000000000004,0.0005794,long
46,SNXUSDT,3.639,2023-11-24 16:07:55,3.248,2023-11-28 11:15:36,-10.744710085188228,-8.848584776037363,3.317,long
47,QTUMUSDT,3.291,2023-11-25 08:10:05,3.032,2023-11-28 11:57:06,-7.869948343968396,-7.9611060467942885,3.029,long
48,VOXELUSDT,0.19,2023-11-25 08:31:25,,,,12.894736842105258,0.2145,long
49,ERNUSDT,1.87,2023-11-25 18:27:32,,,,-5.133689839572197,1.774,long
50,VETUSDT,0.02332,2023-11-26 06:26:18,0.02108,2023-11-28 11:15:39,-9.605488850771865,-7.63293310463122,0.02154,long
51,OGNUSDT,0.1357,2023-11-26 12:56:12,,,,-6.263817243920398,0.1272,long
53,BAKEUSDT,0.1561,2023-11-27 17:03:09,,,,13.581037796284448,0.1773,long
55,PONDUSDT,0.01169,2023-11-27 17:11:05,0.01131,2023-11-28 11:57:11,-3.2506415739948684,-3.421727972626185,0.01129,long
57,TUSDUSDT,0.997,2023-11-27 17:13:26,0.9979,2023-11-29 03:14:19,-0.09027081243731314,-0.10030090270812446,0.998,short
56,WTCUSDT,0.0715,2023-11-28 12:48:33,,,,28.67132867132867,0.051,short
58,COSUSDT,0.00739,2023-11-29 03:17:22,,,,-8.795669824086596,0.00674,long
58,COSUSDT,0.00739,2023-11-29 03:17:22,,,,-8.795669824086596,0.00674,long
60,PERLUSDT,0.00649,2023-11-29 03:23:40,,,,9.707241910631746,0.00586,short
62,STXUSDT,0.7518,2023-11-29 04:41:45,,,,0.0,0.7518,long
64,KEYUSDT,0.006349,2023-11-29 05:15:25,,,,3.890376437234221,0.006596,long
